rating_id,user_id,anime_id,rating
1,475,18,4.0
2,33,47,5.0
3,488,35,4.5
4,300,100,4.0
5,394,56,5.0
6,33,14,5.0
7,466,82,5.0
8,2,82,4.0
9,187,47,5.0
10,92,94,4.0
11,53,30,5.0
12,24,127,5.0
13,355,61,5.0
14,435,14,5.0
15,305,104,5.0
16,487,58,5.0
17,243,14,4.0
18,120,95,4.0
19,271,50,4.0
20,274,52,5.0
21,86,34,4.5
22,399,69,4.0
23,367,67,4.5
24,129,112,4.5
25,452,45,5.0
26,86,84,5.0
27,329,55,5.0
28,153,48,4.0
29,434,123,5.0
30,155,97,5.0
31,194,119,4.5
32,186,40,4.5
33,456,96,4.0
34,183,120,4.0
35,232,30,4.0
36,35,36,4.5
37,418,48,3.5
38,51,53,5.0
39,442,66,5.0
40,198,48,5.0
41,425,76,4.5
42,315,64,5.0
43,350,63,5.0
44,340,77,5.0
45,252,18,5.0
46,25,102,5.0
47,276,109,4.0
48,148,73,4.0
49,252,56,4.5
50,353,13,5.0
51,132,59,5.0
52,65,7,5.0
53,164,83,5.0
54,320,103,4.0
55,43,63,5.0
56,332,81,4.5
57,497,34,5.0
58,151,100,4.5
59,71,60,5.0
60,290,108,5.0
61,271,97,5.0
62,285,131,4.5
63,312,6,5.0
64,156,51,4.5
65,179,122,4.5
66,364,116,5.0
67,402,104,4.5
68,459,82,4.5
69,398,118,4.5
70,146,67,4.0
71,95,56,4.5
72,369,61,5.0
73,58,34,5.0
74,231,83,3.5
75,275,129,5.0
76,252,110,4.0
77,299,82,5.0
78,120,90,3.5
79,334,31,5.0
80,336,22,5.0
81,114,125,5.0
82,271,110,5.0
83,468,114,4.5
84,406,120,4.0
85,196,22,4.5
86,296,16,5.0
87,91,106,5.0
88,468,46,4.5
89,303,99,5.0
90,105,82,5.0
91,478,76,5.0
92,324,53,3.5
93,74,131,4.5
94,87,71,4.0
95,471,2,3.5
96,288,35,3.0
97,191,104,5.0
98,460,39,5.0
99,159,121,3.0
100,396,5,4.0
101,101,109,3.0
